title,n1,n2,n3,n4,n5,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,slot9,slot10,file
Challenge 1,0,5,0,2,1,blue,pink,blank,blank,pink,blue,orange,yellow,orange,blue,Scan 0.jpeg
Challenge 2,0,3,1,4,0,pink,blue,pink,blank,blue,pink,orange,blue,blank,yellow,Scan 2.jpeg
Challenge 3,1,1,1,5,0,blank,orange,blue,yellow,blank,pink,blue,blue,pink,blank,Scan 4.jpeg
Challenge 4,0,1,5,1,1,yellow,blank,blue,pink,blank,blue,blank,orange,yellow,blue,Scan 6.jpeg
Challenge 5,0,4,0,3,1,blank,blank,pink,blank,pink,blue,orange,yellow,blue,blue,Scan 8.jpeg
Challenge 6,0,2,4,1,1,blank,blank,yellow,pink,blue,blank,orange,pink,yellow,blue,Scan 10.jpeg
Challenge 7,0,2,3,3,0,blue,orange,blue,pink,blank,yellow,blank,blank,blue,yellow,Scan 12.jpeg
Challenge 8,1,2,3,1,1,yellow,blank,blank,pink,orange,orange,blue,blank,blue,pink,Scan 14.jpeg
Challenge 9,1,2,2,1,2,pink,pink,blue,blank,yellow,blank,blue,blank,blue,orange,Scan 16.jpeg
Challenge 10,1,2,2,2,1,pink,pink,pink,blank,orange,yellow,blank,blue,blank,blue,Scan 18.jpeg
Challenge 11,0,5,1,1,1,blank,yellow,pink,blank,blank,blue,orange,blank,orange,blue,Scan 20.jpeg
Challenge 12,0,1,5,2,0,blue,blank,blue,pink,blank,blue,blank,orange,yellow,blank,Scan 22.jpeg
Challenge 13,0,2,2,4,0,blank,blank,yellow,blank,blue,pink,orange,pink,blank,yellow,Scan 24.jpeg
Challenge 14,0,1,4,2,1,blank,yellow,blue,blank,pink,blank,pink,pink,blue,blank,Scan 26.jpeg
Challenge 15,1,2,2,0,3,pink,blue,pink,blank,yellow,blank,blue,blank,yellow,blank,Scan 28.jpeg
Challenge 16,0,3,1,3,1,blank,blank,yellow,pink,pink,blank,blank,blue,orange,blue,Scan 30.jpeg
Challenge 17,0,2,3,2,1,blank,yellow,blank,blue,pink,blank,blank,pink,blue,blue,Scan 32.jpeg
Challenge 18,2,1,2,2,1,pink,blank,pink,yellow,orange,blank,blank,blue,blank,blue,Scan 34.jpeg
Challenge 19,1,2,2,2,1,blank,blank,yellow,orange,pink,blank,blue,blank,pink,blue,Scan 36.jpeg
Challenge 20,0,2,1,5,0,blank,blank,blue,pink,blank,blank,pink,blue,pink,blank,Scan 38.jpeg
Challenge 21,0,2,5,0,1,blank,blue,blank,orange,blue,yellow,orange,blank,blank,blank,Scan 40.jpeg
Challenge 22,0,2,1,4,1,blank,orange,yellow,pink,blank,blue,blank,blank,pink,blank,Scan 42.jpeg
Challenge 23,0,1,4,3,0,yellow,blue,blank,blank,pink,blank,blank,orange,blank,yellow,Scan 44.jpeg
Challenge 24,1,2,0,2,3,orange,blue,orange,yellow,blank,blank,blank,yellow,blank,blank,Scan 46.jpeg
Challenge 25,0,2,2,3,1,pink,blank,yellow,blank,blue,yellow,blank,pink,blank,blank,Scan 48.jpeg
Challenge 26,1,1,3,1,2,blank,blank,pink,blank,yellow,blank,pink,blue,yellow,blank,Scan 50.jpeg
Challenge 27,1,1,2,2,2,pink,yellow,blank,blank,blue,blank,blank,pink,pink,blank,Scan 52.jpeg
Challenge 28,1,2,2,2,1,orange,orange,blue,pink,blue,blank,blank,blank,blank,blank,Scan 54.jpeg
Challenge 29,0,3,0,5,0,blank,blue,blank,pink,blank,blank,blank,blank,orange,yellow,Scan 56.jpeg
Challenge 30,0,1,5,0,2,blank,blank,blue,blank,blue,blue,blank,blank,yellow,blank,Scan 57.jpeg
Challenge 31,0,1,3,4,0,blank,blank,blank,blank,blue,blue,blank,pink,pink,blank,Scan 59.jpeg
Challenge 32,2,0,4,2,0,orange,blank,pink,blank,blue,blank,blank,orange,blank,blank,Scan 61.jpeg
Challenge 33,1,1,2,1,3,orange,blank,blank,blue,yellow,orange,blank,blank,blank,blank,Scan 63.jpeg
Challenge 34,0,1,3,3,1,blank,blank,yellow,blank,blank,blank,pink,pink,blank,pink,Scan 65.jpeg
Challenge 35,2,0,3,1,2,orange,pink,blank,blue,blank,blue,blank,blank,blank,blank,Scan 67.jpeg
Challenge 36,1,2,1,2,2,blank,blank,blank,pink,blank,blue,blue,yellow,blank,blank,Scan 69.jpeg
Challenge 37,1,2,2,2,1,orange,orange,pink,blank,blank,blank,blank,blank,blank,pink,Scan 71.jpeg
Challenge 38,0,3,0,5,0,blank,blue,yellow,pink,blank,blank,blank,blank,blank,blank,Scan 73.jpeg
Challenge 39,0,1,5,0,2,yellow,blank,blue,blank,blue,blank,blank,blank,blank,blank,Scan 75.jpeg
Challenge 40,0,2,1,4,1,yellow,orange,blank,blank,orange,blank,blank,blank,blank,blank,Scan 77.jpeg
Challenge 41,0,1,4,3,0,blank,orange,blank,blank,blue,blank,blank,blank,blank,pink,Scan 79.jpeg
Challenge 42,1,2,0,2,3,blank,blue,blank,blank,pink,pink,blank,blank,blank,blank,Scan 81.jpeg
Challenge 43,0,2,2,3,1,blank,blank,blank,blank,pink,blank,blank,orange,blank,pink,Scan 83.jpeg
Challenge 44,1,2,3,0,2,blank,yellow,blank,blank,blank,pink,blank,pink,blank,blank,Scan 85.jpeg
Challenge 45,2,0,2,2,2,blank,blank,blank,blue,orange,blank,blank,blank,blank,orange,Scan 87.jpeg
Challenge 46,1,2,2,2,1,blank,blank,blank,blue,pink,pink,blank,blank,blank,blank,Scan 89.jpeg
Challenge 47,0,1,5,1,1,blank,blank,blank,blank,blank,blue,blank,blank,yellow,blank,Scan 91.jpeg
Challenge 48,0,1,5,1,1,yellow,blank,blank,blank,blank,orange,blank,blank,blank,blank,Scan 93.jpeg
Challenge 49,0,1,3,4,0,blank,blank,blank,blank,blank,blank,blank,blank,blue,pink,Scan 95.jpeg
Challenge 50,0,1,4,1,2,blank,blank,blank,blank,blue,blank,blank,blank,blank,orange,Scan 97.jpeg
Challenge 51,1,2,0,2,3,blank,blank,blank,blue,blank,blank,blank,blue,blank,blank,Scan 99.jpeg
Challenge 52,0,2,2,3,1,blank,blank,blank,blank,orange,pink,blank,blank,blank,blank,Scan 101.jpeg
Challenge 53,1,0,3,2,2,blank,yellow,blank,blank,blank,blue,blank,blank,blank,blank,Scan 103.jpeg
Challenge 54,2,2,0,2,2,blank,orange,blank,blank,pink,blank,blank,blank,blank,blank,Scan 105.jpeg
Challenge 55,0,2,1,5,0,blank,blank,blank,blank,blank,blank,blank,blank,blank,pink,Scan 107.jpeg
Challenge 56,2,0,5,0,1,blank,blank,yellow,blank,blank,blank,blank,blank,blank,blank,Scan 109.jpeg
Challenge 57,0,3,0,4,1,blank,blank,blank,blank,yellow,blank,blank,blank,blank,blank,Scan 111.jpeg
Challenge 58,2,1,4,1,0,blue,blank,blank,blank,blank,blank,blank,blank,blank,blank,Scan 113.jpeg
Challenge 59,1,1,3,0,3,blank,blank,blank,blank,blank,blank,blank,blank,blue,blank,Scan 115.jpeg
Challenge 60,2,0,1,3,2,blank,blank,blank,blank,blank,blank,blank,orange,blank,blank,Scan 117.jpeg
Challenge 61,2,1,3,2,0,blank,blank,blank,blank,blank,blank,blank,blank,orange,blank,Scan 119.jpeg
Challenge 62,2,2,2,0,2,blank,blank,blank,blank,blank,blank,blank,blank,orange,blank,Scan 120.jpeg
Challenge 63,2,4,0,0,2,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,Scan 122.jpeg
Challenge 64,2,2,3,1,0,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,Scan 124.jpeg
Solution 1,0,5,0,2,1,blue,pink,yellow,pink,pink,blue,orange,yellow,orange,blue,Scan 1.jpeg
Solution 2,0,3,1,4,0,pink,blue,pink,yellow,blue,pink,orange,blue,orange,yellow,Scan 3.jpeg
Solution 3,1,1,1,5,0,pink,orange,blue,yellow,orange,pink,blue,blue,pink,yellow,Scan 5.jpeg
Solution 4,0,1,5,1,1,yellow,orange,blue,pink,pink,blue,pink,orange,yellow,blue,Scan 7.jpeg
Solution 5,0,4,0,3,1,orange,yellow,pink,pink,pink,blue,orange,yellow,blue,blue,Scan 9.jpeg
Solution 6,0,2,4,1,1,orange,pink,yellow,pink,blue,blue,orange,pink,yellow,blue,Scan 11.jpeg
Solution 7,0,2,3,3,0,blue,orange,blue,pink,pink,yellow,orange,pink,blue,yellow,Scan 13.jpeg
Solution 8,1,2,3,1,1,yellow,blue,pink,pink,orange,orange,blue,yellow,blue,pink,Scan 15.jpeg
Solution 9,1,2,2,1,2,pink,pink,blue,yellow,yellow,pink,blue,orange,blue,orange,Scan 17.jpeg
Solution 10,1,2,2,2,1,pink,pink,pink,orange,orange,yellow,yellow,blue,blue,blue,Scan 19.jpeg
Solution 11,0,5,1,1,1,yellow,yellow,pink,pink,pink,blue,orange,blue,orange,blue,Scan 21.jpeg
Solution 12,0,1,5,2,0,blue,orange,blue,pink,pink,blue,pink,orange,yellow,yellow,Scan 23.jpeg
Solution 13,0,2,2,4,0,orange,blue,yellow,blue,blue,pink,orange,pink,pink,yellow,Scan 25.jpeg
Solution 14,0,1,4,2,1,yellow,yellow,blue,orange,pink,orange,pink,pink,blue,blue,Scan 27.jpeg
Solution 15,1,2,2,0,3,pink,blue,pink,pink,yellow,orange,blue,blue,yellow,orange,Scan 29.jpeg
Solution 16,0,3,1,3,1,yellow,blue,yellow,pink,pink,pink,orange,blue,orange,blue,Scan 31.jpeg
Solution 17,0,2,3,2,1,yellow,yellow,orange,blue,pink,pink,orange,pink,blue,blue,Scan 33.jpeg
Solution 18,2,1,2,2,1,pink,blue,pink,yellow,orange,orange,pink,blue,yellow,blue,Scan 35.jpeg
Solution 19,1,2,2,2,1,blue,orange,yellow,orange,pink,yellow,blue,pink,pink,blue,Scan 37.jpeg
Solution 20,0,2,1,5,0,yellow,orange,blue,pink,orange,blue,pink,blue,pink,yellow,Scan 39.jpeg
Solution 21,0,2,5,0,1,pink,blue,pink,orange,blue,yellow,orange,pink,yellow,blue,Scan 41.jpeg
Solution 22,0,2,1,4,1,yellow,orange,yellow,pink,pink,blue,orange,blue,pink,blue,Scan 43.jpeg
Solution 23,0,1,4,3,0,yellow,blue,blue,orange,pink,pink,pink,orange,blue,yellow,Scan 45.jpeg
Solution 24,1,2,0,2,3,orange,blue,orange,yellow,pink,pink,blue,yellow,blue,pink,Scan 47.jpeg
Solution 25,0,2,2,3,1,pink,blue,yellow,orange,blue,yellow,pink,pink,orange,blue,Scan 49.jpeg
Solution 26,1,1,3,1,2,blue,orange,pink,blue,yellow,orange,pink,blue,yellow,pink,Scan 51.jpeg
Solution 27,1,1,2,2,2,pink,yellow,yellow,blue,blue,orange,blue,pink,pink,orange,Scan 53.jpeg
Solution 28,1,2,2,2,1,orange,orange,blue,pink,blue,pink,yellow,yellow,blue,pink,Scan 55.jpeg
Solution 29,0,3,0,5,0,yellow,blue,blue,pink,pink,pink,orange,blue,orange,yellow,NA
Solution 30,0,1,5,0,2,pink,yellow,blue,orange,blue,blue,pink,pink,yellow,orange,Scan 58.jpeg
Solution 31,0,1,3,4,0,orange,yellow,blue,orange,blue,blue,pink,pink,pink,yellow,Scan 60.jpeg
Solution 32,2,0,4,2,0,orange,blue,pink,blue,blue,yellow,yellow,orange,pink,pink,Scan 62.jpeg
Solution 33,1,1,2,1,3,orange,pink,pink,blue,yellow,orange,blue,blue,yellow,pink,Scan 64.jpeg
Solution 34,0,1,3,3,1,blue,yellow,yellow,orange,blue,blue,pink,pink,orange,pink,Scan 66.jpeg
Solution 35,2,0,3,1,2,orange,pink,yellow,blue,pink,blue,yellow,blue,pink,orange,Scan 68.jpeg
Solution 36,1,2,1,2,2,yellow,blue,orange,pink,pink,blue,blue,yellow,pink,orange,Scan 70.jpeg
Solution 37,1,2,2,2,1,orange,orange,pink,yellow,blue,blue,blue,yellow,pink,pink,Scan 72.jpeg
Solution 38,0,3,0,5,0,pink,blue,yellow,pink,orange,blue,orange,blue,pink,yellow,Scan 74.jpeg
Solution 39,0,1,5,0,2,yellow,yellow,blue,orange,blue,blue,pink,pink,pink,orange,Scan 76.jpeg
Solution 40,0,2,1,4,1,yellow,orange,blue,pink,orange,blue,pink,yellow,pink,blue,Scan 78.jpeg
Solution 41,0,1,4,3,0,yellow,orange,blue,pink,blue,yellow,pink,orange,blue,pink,Scan 80.jpeg
Solution 42,1,2,0,2,3,orange,blue,orange,yellow,pink,pink,blue,yellow,blue,pink,Scan 82.jpeg
Solution 43,0,2,2,3,1,yellow,blue,yellow,blue,pink,blue,orange,orange,pink,pink,Scan 84.jpeg
Solution 44,1,2,3,0,2,blue,yellow,blue,pink,orange,pink,blue,pink,yellow,orange,Scan 86.jpeg
Solution 45,2,0,2,2,2,yellow,blue,blue,blue,orange,pink,yellow,pink,pink,orange,Scan 88.jpeg
Solution 46,1,2,2,2,1,orange,orange,pink,blue,pink,pink,blue,yellow,yellow,blue,Scan 90.jpeg
Solution 47,0,1,5,1,1,yellow,orange,blue,pink,pink,blue,pink,orange,yellow,blue,Scan 92.jpeg
Solution 48,0,1,5,1,1,yellow,yellow,pink,orange,blue,orange,pink,pink,blue,blue,Scan 94.jpeg
Solution 49,0,1,3,4,0,blue,yellow,orange,orange,blue,yellow,pink,pink,blue,pink,Scan 96.jpeg
Solution 50,0,1,4,1,2,yellow,yellow,blue,orange,blue,pink,pink,pink,blue,orange,Scan 98.jpeg
Solution 51,1,2,0,2,3,orange,yellow,orange,blue,yellow,pink,pink,blue,blue,pink,Scan 100.jpeg
Solution 52,0,2,2,3,1,yellow,blue,yellow,blue,orange,pink,orange,pink,pink,blue,Scan 102.jpeg
Solution 53,1,0,3,2,2,pink,yellow,yellow,orange,blue,blue,blue,pink,pink,orange,NA
Solution 54,2,2,0,2,2,blue,orange,yellow,blue,pink,blue,yellow,pink,pink,orange,Scan 106.jpeg
Solution 55,0,2,1,5,0,yellow,blue,blue,blue,pink,yellow,orange,pink,orange,pink,Scan 108.jpeg
Solution 56,2,0,5,0,1,orange,blue,yellow,blue,pink,pink,yellow,orange,pink,blue,Scan 110.jpeg
Solution 57,0,3,0,4,1,orange,pink,orange,pink,yellow,blue,pink,yellow,blue,blue,Scan 112.jpeg
Solution 58,2,1,4,1,0,blue,blue,orange,yellow,blue,yellow,pink,orange,pink,pink,Scan 114.jpeg
Solution 59,1,1,3,0,3,yellow,yellow,blue,blue,pink,orange,pink,pink,blue,orange,Scan 116.jpeg
Solution 60,2,0,1,3,2,yellow,blue,blue,blue,pink,orange,yellow,orange,pink,pink,Scan 118.jpeg
Solution 61,2,1,3,2,0,orange,blue,yellow,blue,pink,pink,yellow,blue,orange,pink,NA
Solution 62,2,2,2,0,2,blue,yellow,yellow,pink,pink,blue,pink,blue,orange,orange,Scan 121.jpeg
Solution 63,2,4,0,0,2,orange,blue,yellow,yellow,pink,blue,pink,pink,blue,orange,Scan 123.jpeg
Solution 64,2,2,3,1,0,blue,orange,orange,blue,blue,yellow,yellow,pink,pink,pink,Scan 125.jpeg
